timestamp_s,throttle,rpm,true_cht,egt,oil_temp,oil_pressure,fuel_flow
0.0,0.25,1450.0,52.0,337.21,42.0,51.54,4.462
1.0,0.25,1535.3,52.43,339.56,42.03,53.33,4.718
2.0,0.25,1593.5,52.94,342.29,42.08,54.23,4.893
3.0,0.25,1633.3,53.45,345.09,42.14,55.4,5.012
4.0,0.25,1665.2,53.46,345.11,42.05,55.43,5.108
5.0,0.25,1683.9,54.01,348.1,42.24,56.26,5.164
6.0,0.25,1701.8,54.45,350.48,42.77,56.68,5.217
7.0,0.25,1711.5,54.68,351.74,42.6,56.55,5.247
8.0,0.25,1718.9,55.27,354.92,42.73,56.79,5.269
9.0,0.25,1719.8,55.52,356.27,42.9,56.49,5.272
10.0,0.25,1723.3,56.27,360.33,42.83,56.3,5.282
11.0,0.25,1730.3,57.04,364.53,42.8,56.5,5.303
12.0,0.25,1730.3,57.03,364.46,42.87,57.77,5.303
13.0,0.25,1737.1,56.81,363.28,43.08,56.65,5.323
14.0,0.25,1733.4,57.41,366.53,42.93,57.33,5.312
15.0,0.25,1734.8,57.19,365.34,42.98,56.6,5.317
16.0,0.25,1732.8,57.57,367.39,42.99,56.48,5.311
17.0,0.25,1727.3,58.09,370.2,42.93,55.95,5.294
18.0,0.25,1729.8,58.46,372.24,43.17,56.92,5.302
19.0,0.25,1736.9,59.07,375.51,43.45,56.82,5.323
20.0,0.25,1733.8,59.33,376.92,43.41,56.74,5.314
21.0,0.25,1726.3,59.3,376.77,43.49,55.98,5.291
22.0,0.25,1727.0,59.37,377.16,43.29,56.61,5.293
23.0,0.25,1727.4,59.66,378.73,43.48,56.58,5.294
24.0,0.25,1732.2,59.28,376.69,43.36,56.66,5.309
25.0,0.25,1727.8,59.14,375.91,43.19,57.18,5.296
26.0,0.25,1727.7,59.39,377.28,43.34,56.97,5.295
27.0,0.25,1728.9,59.47,377.67,43.21,56.78,5.299
28.0,0.25,1729.3,59.72,379.05,43.31,56.2,5.3
29.0,0.25,1730.6,59.72,379.08,43.55,56.57,5.304
30.0,0.25,1727.4,60.06,380.9,43.6,56.9,5.294
31.0,0.25,1726.1,60.08,381.0,43.61,56.36,5.29
32.0,0.25,1727.5,60.14,381.35,43.44,56.82,5.294
33.0,0.25,1737.7,60.44,382.95,43.42,56.05,5.325
34.0,0.25,1735.8,61.04,386.2,44.01,57.73,5.32
35.0,0.25,1730.1,61.76,390.13,44.31,56.41,5.302
36.0,0.25,1728.6,61.92,390.98,44.14,56.59,5.298
37.0,0.25,1732.3,62.12,392.06,44.17,55.72,5.309
38.0,0.25,1736.8,62.6,394.69,44.23,56.87,5.322
39.0,0.25,1735.9,62.86,396.08,44.05,56.6,5.32
40.0,0.25,1738.4,63.02,396.94,44.26,56.57,5.327
41.0,0.25,1733.0,62.76,395.54,44.07,57.38,5.311
42.0,0.25,1727.8,62.74,395.41,43.9,57.11,5.295
43.0,0.25,1731.8,62.5,394.13,44.14,56.8,5.308
44.0,0.25,1730.5,62.44,393.79,44.4,56.46,5.304
45.0,0.25,1730.1,62.8,395.77,44.02,56.52,5.303
46.0,0.25,1730.4,62.48,394.03,44.15,57.06,5.303
47.0,0.25,1728.9,62.67,395.05,44.05,56.74,5.299
48.0,0.25,1726.4,63.41,399.03,44.35,57.53,5.291
