#airframe_info, log_version="1.00", airframe_name="Diamond DA 40", unit_software_part_number="006-B0319-7G", unit_software_version="9.15", system_software_part_number="006-B0321-22", system_id="20527E45B", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,   gals,   gals,      gph,      psi,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  FQtyL,  FQtyR, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2021-01-03, 10:36:36,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  10.94,  10.29,     0.00,     3.71,   31.35,    0.00,  31.24,    0.0,   29.80,   29.83,   29.71,   29.68,   31.93,   31.93,   31.65,   31.86,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-01-03, 10:36:36,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  10.94,  10.29,     0.00,     3.71,   31.35,    0.00,  31.24,    0.0,   29.80,   29.83,   29.71,   29.68,   31.93,   31.93,   31.65,   31.86,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-01-03, 10:36:38,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  10.94,  10.30,     0.00,     3.70,   31.36,    0.00,  31.24,    0.0,   29.81,   29.86,   29.74,   29.72,   31.95,   31.96,   31.68,   31.88,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-01-03, 10:36:39,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  10.94,  10.30,     0.00,     3.69,   31.37,    0.00,  31.24,    0.0,   29.79,   29.84,   29.71,   29.69,   31.93,   31.93,   31.67,   31.87,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-01-03, 10:36:40,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  10.93,  10.30,     0.00,     3.69,   31.38,    0.00,  31.24,    0.0,   29.79,   29.83,   29.70,   29.68,   31.93,   31.92,   31.66,   31.85,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-01-03, 10:36:41,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  10.93,  10.30,     0.00,     3.68,   31.38,    0.00,  31.24,    0.0,   29.80,   29.84,   29.73,   29.71,   31.95,   31.94,   31.67,   31.87,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-01-03, 10:36:42,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  10.93,  10.30,     0.00,     3.68,   31.38,    0.00,  31.25,    0.0,   29.78,   29.83,   29.70,   29.68,   31.92,   31.92,   31.65,   31.85,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-01-03, 10:36:43,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.2,  10.93,  10.30,     0.00,     3.68,   31.39,    0.00,  31.24,    0.0,   29.77,   29.83,   29.70,   29.68,   31.92,   31.93,   31.65,   31.85,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-01-03, 10:36:44,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.4,  10.93,  10.30,     0.00,     3.67,   31.39,    0.00,  31.25,    0.0,   29.77,   29.81,   29.70,   29.68,   31.92,   31.92,   31.65,   31.85,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2021-01-03, 10:36:45,  -05:00,       ,             ,             ,        , 29.99,        ,      ,   0.00,       ,        ,       ,       ,       ,       ,      ,      ,  24.3,  10.93,  10.30,     0.00,     3.67,   31.39,    0.00,  31.25,    0.0,   29.75,   29.78,   29.67,   29.65,   31.89,   31.89,   31.60,   31.81,        ,    ,  GPS,  340.0, 114.70, 110.50, 125.200, 118.250,       ,       ,       ,      ,       ,       ,  -14.5,       ,      ,       ,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
